order_id,late_delivery_risk,late_delivery_probability,order_date,shipping_date,revenue,order_profit_per_order,delivery_timing_group,shipping_mode,order_region,market,customer_segment,days_for_shipping_real,days_for_shipment_scheduled,shipping_delay_days,quantity,unique_products,unique_categories,order_lines,loss_flag,prediction_030,prediction_040,risk_level,prediction_result_030,prediction_result_040,revenue_at_risk_030,revenue_at_risk_040,profit_at_risk_030,profit_at_risk_040,recommended_action
63112,0,0.3771998116412071,2017-07-10 06:35:00,2017-07-13 06:35:00,484.80000296,192.50000763,Early,Standard Class,Western Europe,Europe,Corporate,3,4,-1,9,3,3,4,0,1,0,Watch,False Positive,True Negative,484.80000296,0.0,192.50000763,0.0,Review if Capacity Allows
63113,1,0.7736015514217609,2017-07-10 06:56:00,2017-07-14 06:56:00,174.88000108,2.970001230000001,Late,Second Class,Western Europe,Europe,Consumer,4,2,2,2,2,2,2,0,1,1,Critical,True Positive,True Positive,174.88000108,174.88000108,2.970001230000001,2.970001230000001,Immediate Intervention
63114,1,0.376960756720816,2017-07-10 07:17:00,2017-07-15 07:17:00,1058.32001495,212.459999087,Late,Standard Class,Western Europe,Europe,Consumer,5,4,1,6,4,4,5,0,1,0,Watch,True Positive,False Negative,1058.32001495,0.0,212.459999087,0.0,Review if Capacity Allows
63115,1,0.2747649114628736,2017-07-10 07:38:00,2017-07-16 07:38:00,488.9400024,143.93000030000002,Late,Standard Class,Western Europe,Europe,Consumer,6,4,2,5,2,2,2,0,0,0,Low,False Negative,False Negative,0.0,0.0,0.0,0.0,Standard Monitoring
63116,0,0.2787792184056489,2017-07-10 07:59:00,2017-07-12 07:59:00,448.8300018,-298.4599991,Early,Standard Class,Western Europe,Europe,Consumer,2,4,-2,5,3,3,3,1,0,0,Low,True Negative,True Negative,0.0,0.0,0.0,0.0,Standard Monitoring
63117,0,0.388158680422064,2017-07-10 08:20:00,2017-07-13 08:20:00,605.7599868,141.22000313,Early,Standard Class,Western Europe,Europe,Consumer,3,4,-1,6,4,4,4,0,1,0,Watch,False Positive,True Negative,605.7599868,0.0,141.22000313,0.0,Review if Capacity Allows
63118,0,0.2442614296503052,2017-07-10 08:41:00,2017-07-14 08:41:00,1254.48001103,-482.77999876,On Time,Standard Class,Northern Europe,Europe,Consumer,4,4,0,10,3,3,5,1,0,0,Low,True Negative,True Negative,0.0,0.0,0.0,0.0,Standard Monitoring
63120,1,0.3567280884987666,2017-07-10 09:23:00,2017-07-16 09:23:00,400.2600021,99.67000009,Late,Standard Class,Northern Europe,Europe,Home Office,6,4,2,5,2,2,3,0,1,0,Watch,True Positive,False Negative,400.2600021,0.0,99.67000009,0.0,Review if Capacity Allows
63121,0,0.2730208417479813,2017-07-10 09:44:00,2017-07-12 09:44:00,335.980011,117.5899963,Early,Standard Class,Western Europe,Europe,Corporate,2,4,-2,1,1,1,1,0,0,0,Low,True Negative,True Negative,0.0,0.0,0.0,0.0,Standard Monitoring
63122,0,0.3860511132035175,2017-07-10 10:05:00,2017-07-13 10:05:00,127.3899994,12.73999977,Early,Standard Class,Western Europe,Europe,Home Office,3,4,-1,1,1,1,1,0,1,0,Watch,False Positive,True Negative,127.3899994,0.0,12.73999977,0.0,Review if Capacity Allows
63123,0,0.3813451453442128,2017-07-10 10:26:00,2017-07-14 10:26:00,500.7399903,108.02999875,On Time,Standard Class,Western Europe,Europe,Consumer,4,4,0,7,2,2,2,0,1,0,Watch,False Positive,True Negative,500.7399903,0.0,108.02999875,0.0,Review if Capacity Allows
63124,1,0.3764877617524824,2017-07-10 10:47:00,2017-07-15 10:47:00,507.6400032,46.030001637,Late,Standard Class,Western Europe,Europe,Corporate,5,4,1,5,2,2,5,0,1,0,Watch,True Positive,False Negative,507.6400032,0.0,46.030001637,0.0,Review if Capacity Allows
63126,0,0.7520082972699759,2017-07-10 11:29:00,2017-07-12 11:29:00,862.12001415,-187.539988983,On Time,Second Class,Northern Europe,Europe,Consumer,2,2,0,8,5,5,5,1,1,1,Critical,False Positive,False Positive,862.12001415,862.12001415,-187.539988983,-187.539988983,Immediate Intervention
63127,1,0.7469485638247964,2017-07-10 11:50:00,2017-07-13 11:50:00,1014.9300232,-27.690000510999997,Late,Second Class,Northern Europe,Europe,Consumer,3,2,1,7,5,5,5,1,1,1,Critical,True Positive,True Positive,1014.9300232,1014.9300232,-27.690000510999997,-27.690000510999997,Immediate Intervention
63128,0,0.3486223710842783,2017-07-10 12:12:00,2017-07-14 12:12:00,761.4200134,106.12001043,On Time,Standard Class,Northern Europe,Europe,Consumer,4,4,0,9,3,3,3,0,1,0,Watch,False Positive,True Negative,761.4200134,0.0,106.12001043,0.0,Review if Capacity Allows
63130,1,0.2521893891460423,2017-07-10 12:54:00,2017-07-16 12:54:00,107.8899994,51.79000092,Late,Standard Class,Northern Europe,Europe,Corporate,6,4,2,1,1,1,1,0,0,0,Low,False Negative,False Negative,0.0,0.0,0.0,0.0,Standard Monitoring
63131,0,0.3562675544861539,2017-07-10 13:15:00,2017-07-12 13:15:00,671.81000518,132.419999129,Early,Standard Class,Northern Europe,Europe,Home Office,2,4,-2,7,4,4,4,0,1,0,Watch,False Positive,True Negative,671.81000518,0.0,132.419999129,0.0,Review if Capacity Allows
63132,0,0.3547367001638764,2017-07-10 13:36:00,2017-07-13 13:36:00,329.1900024,-402.83000183,Early,Standard Class,Northern Europe,Europe,Corporate,3,4,-1,6,2,2,2,1,1,0,Watch,False Positive,True Negative,329.1900024,0.0,-402.83000183,0.0,Review if Capacity Allows
63135,1,0.9494973564862348,2017-07-10 14:39:00,2017-07-12 14:39:00,669.960022,-121.050001124,Late,First Class,Southern Europe,Europe,Consumer,2,1,1,3,2,2,3,1,1,1,Critical,True Positive,True Positive,669.960022,669.960022,-121.050001124,-121.050001124,Immediate Intervention
63138,1,0.922146003470088,2017-07-10 15:42:00,2017-07-12 15:42:00,263.9700012,42.24000168,Late,First Class,Southern Europe,Europe,Consumer,2,1,1,3,1,1,1,0,1,1,Critical,True Positive,True Positive,263.9700012,263.9700012,42.24000168,42.24000168,Immediate Intervention
63139,1,0.9287879269933552,2017-07-10 16:03:00,2017-07-12 16:03:00,163.9900055,80.36000061,Late,First Class,Western Europe,Europe,Consumer,2,1,1,1,1,1,1,0,1,1,Critical,True Positive,True Positive,163.9900055,163.9900055,80.36000061,80.36000061,Immediate Intervention
63141,0,0.3786437994940978,2017-07-10 16:45:00,2017-07-12 16:45:00,414.9500122,112.86999893,Early,Standard Class,Western Europe,Europe,Consumer,2,4,-2,6,2,2,2,0,1,0,Watch,False Positive,True Negative,414.9500122,0.0,112.86999893,0.0,Review if Capacity Allows
63143,0,0.3759621597160463,2017-07-10 17:27:00,2017-07-14 17:27:00,585.9399872,69.69000052999999,On Time,Standard Class,Western Europe,Europe,Consumer,4,4,0,7,1,1,2,0,1,0,Watch,False Positive,True Negative,585.9399872,0.0,69.69000052999999,0.0,Review if Capacity Allows
63146,0,0.360309776985297,2017-07-10 18:30:00,2017-07-12 18:30:00,458.3199921,114.22999954,Early,Standard Class,Southern Europe,Europe,Corporate,2,4,-2,8,2,2,2,0,1,0,Watch,False Positive,True Negative,458.3199921,0.0,114.22999954,0.0,Review if Capacity Allows
63148,0,0.2584073942242271,2017-07-10 19:12:00,2017-07-14 19:12:00,916.3700181,326.35999675,On Time,Standard Class,Southern Europe,Europe,Consumer,4,4,0,8,4,4,5,0,0,0,Low,True Negative,True Negative,0.0,0.0,0.0,0.0,Standard Monitoring
63149,1,0.3614775480949931,2017-07-10 19:33:00,2017-07-15 19:33:00,943.88002018,224.099995016,Late,Standard Class,Southern Europe,Europe,Consumer,5,4,1,10,5,5,5,0,1,0,Watch,True Positive,False Negative,943.88002018,0.0,224.099995016,0.0,Review if Capacity Allows
63150,1,0.3637865684857724,2017-07-10 19:54:00,2017-07-16 19:54:00,863.9500275,126.009998319,Late,Standard Class,Southern Europe,Europe,Consumer,6,4,2,4,4,4,4,0,1,0,Watch,True Positive,False Negative,863.9500275,0.0,126.009998319,0.0,Review if Capacity Allows
63153,0,0.2722198253414197,2017-07-10 20:57:00,2017-07-14 20:57:00,870.45999906,1.9700012200000003,On Time,Standard Class,Western Europe,Europe,Consumer,4,4,0,13,3,3,5,0,0,0,Low,True Negative,True Negative,0.0,0.0,0.0,0.0,Standard Monitoring
63154,1,0.3833255935312363,2017-07-10 21:18:00,2017-07-15 21:18:00,625.9100037000001,-360.60998722,Late,Standard Class,Western Europe,Europe,Consumer,5,4,1,8,4,4,4,1,1,0,Watch,True Positive,False Negative,625.9100037000001,0.0,-360.60998722,0.0,Review if Capacity Allows
63155,0,0.2764221235543856,2017-07-10 21:39:00,2017-07-16 21:39:00,811.8300095,-254.02000429000003,Canceled,Standard Class,Western Europe,Europe,Consumer,6,4,2,13,4,4,5,1,0,0,Low,True Negative,True Negative,0.0,0.0,0.0,0.0,Standard Monitoring
63156,0,0.2772427122639656,2017-07-10 22:00:00,2017-07-12 22:00:00,587.2600173999999,-42.65000534000001,Early,Standard Class,Western Europe,Europe,Consumer,2,4,-2,3,3,3,3,1,0,0,Low,True Negative,True Negative,0.0,0.0,0.0,0.0,Standard Monitoring
63158,0,0.3874453684241248,2017-07-10 22:42:00,2017-07-14 22:42:00,160.88000108,-75.37000084,On Time,Standard Class,Western Europe,Europe,Consumer,4,4,0,2,2,2,2,1,1,0,Watch,False Positive,True Negative,160.88000108,0.0,-75.37000084,0.0,Review if Capacity Allows
63160,1,0.3492136799971005,2017-07-10 23:24:00,2017-07-16 23:24:00,232.5,17.44000053,Late,Standard Class,Northern Europe,Europe,Consumer,6,4,2,5,1,1,1,0,1,0,Watch,True Positive,False Negative,232.5,0.0,17.44000053,0.0,Review if Capacity Allows
63161,0,0.2534467237672194,2017-07-10 23:45:00,2017-07-12 23:45:00,270.340004,40.15000057,Early,Standard Class,Northern Europe,Europe,Consumer,2,4,-2,7,2,2,2,0,0,0,Low,True Negative,True Negative,0.0,0.0,0.0,0.0,Standard Monitoring
63162,1,0.9550879190504812,2017-07-11 00:06:00,2017-07-13 00:06:00,568.4800034,-166.85000038,Late,First Class,Western Europe,Europe,Consumer,2,1,1,11,4,4,4,1,1,1,Critical,True Positive,True Positive,568.4800034,568.4800034,-166.85000038,-166.85000038,Immediate Intervention
63163,0,0.3548462433343423,2017-07-11 00:27:00,2017-07-15 00:27:00,785.8200073,-73.71999360099998,On Time,Standard Class,Southern Europe,Europe,Corporate,4,4,0,9,3,3,5,1,1,0,Watch,False Positive,True Negative,785.8200073,0.0,-73.71999360099998,0.0,Review if Capacity Allows
63164,1,0.3784613511885553,2017-07-11 00:48:00,2017-07-16 00:48:00,672.7300072099999,176.65999604,Late,Standard Class,Western Europe,Europe,Consumer,5,4,1,6,3,3,4,0,1,0,Watch,True Positive,False Negative,672.7300072099999,0.0,176.65999604,0.0,Review if Capacity Allows
63165,1,0.3770287110365104,2017-07-11 01:09:00,2017-07-17 01:09:00,744.2500077,286.62999726,Late,Standard Class,Western Europe,Europe,Corporate,6,4,2,9,4,4,5,0,1,0,Watch,True Positive,False Negative,744.2500077,0.0,286.62999726,0.0,Review if Capacity Allows
63166,0,0.382063138336963,2017-07-11 01:30:00,2017-07-13 01:30:00,721.76999658,134.839996104,Early,Standard Class,Western Europe,Europe,Consumer,2,4,-2,11,5,5,5,0,1,0,Watch,False Positive,True Negative,721.76999658,0.0,134.839996104,0.0,Review if Capacity Allows
63167,0,0.3488076668362084,2017-07-11 01:51:00,2017-07-14 01:51:00,1029.1400223199998,250.87000466,Early,Standard Class,Northern Europe,Europe,Consumer,3,4,-1,6,4,4,5,0,1,0,Watch,False Positive,True Negative,1029.1400223199998,0.0,250.87000466,0.0,Review if Capacity Allows
63168,1,0.9546411576700496,2017-07-11 02:12:00,2017-07-13 02:12:00,29.98999977,-23.98999977,Late,First Class,Western Europe,Europe,Consumer,2,1,1,1,1,1,1,1,1,1,Critical,True Positive,True Positive,29.98999977,29.98999977,-23.98999977,-23.98999977,Immediate Intervention
63170,1,0.281654189224897,2017-07-11 02:54:00,2017-07-17 02:54:00,710.84001157,187.29000852,Late,Standard Class,Western Europe,Europe,Consumer,6,4,2,8,5,5,5,0,0,0,Low,False Negative,False Negative,0.0,0.0,0.0,0.0,Standard Monitoring
63171,0,0.2499662534819732,2017-07-11 03:15:00,2017-07-13 03:15:00,224.9100037,110.2099991,Early,Standard Class,Northern Europe,Europe,Corporate,2,4,-2,5,1,1,1,0,0,0,Low,True Negative,True Negative,0.0,0.0,0.0,0.0,Standard Monitoring
63172,0,0.2740000945127735,2017-07-11 03:36:00,2017-07-14 03:36:00,860.7000236800001,309.34000015000004,Early,Standard Class,Western Europe,Europe,Home Office,3,4,-1,11,3,3,5,0,0,0,Low,True Negative,True Negative,0.0,0.0,0.0,0.0,Standard Monitoring
63173,0,0.3499592940833791,2017-07-11 03:57:00,2017-07-15 03:57:00,680.64000706,-955.52000806,On Time,Standard Class,Northern Europe,Europe,Consumer,4,4,0,6,3,3,3,1,1,0,Watch,False Positive,True Negative,680.64000706,0.0,-955.52000806,0.0,Review if Capacity Allows
63174,1,0.9282210407295112,2017-07-11 04:18:00,2017-07-13 04:18:00,439.1400147,-331.680008,Late,First Class,Western Europe,Europe,Corporate,2,1,1,5,2,2,2,1,1,1,Critical,True Positive,True Positive,439.1400147,439.1400147,-331.680008,-331.680008,Immediate Intervention
63175,1,0.9544307050481118,2017-07-11 04:39:00,2017-07-13 04:39:00,103.9899979,-26.0,Late,First Class,Western Europe,Europe,Consumer,2,1,1,1,1,1,1,1,1,1,Critical,True Positive,True Positive,103.9899979,103.9899979,-26.0,-26.0,Immediate Intervention
63177,0,0.3718906911791494,2017-07-11 05:22:00,2017-07-14 05:22:00,1047.4700241,152.65998838,Early,Standard Class,Western Europe,Europe,Corporate,3,4,-1,12,4,4,5,0,1,0,Watch,False Positive,True Negative,1047.4700241,0.0,152.65998838,0.0,Review if Capacity Allows
63178,0,0.2771084026683716,2017-07-11 05:43:00,2017-07-15 05:43:00,304.4799957,53.979998589,On Time,Standard Class,Western Europe,Europe,Consumer,4,4,0,3,2,2,3,0,0,0,Low,True Negative,True Negative,0.0,0.0,0.0,0.0,Standard Monitoring
63180,1,0.3859964155461481,2017-07-11 06:25:00,2017-07-17 06:25:00,713.2300033,272.59999656,Late,Standard Class,Western Europe,Europe,Consumer,6,4,2,7,4,4,5,0,1,0,Watch,True Positive,False Negative,713.2300033,0.0,272.59999656,0.0,Review if Capacity Allows
63181,0,0.3550716141624563,2017-07-11 06:46:00,2017-07-13 06:46:00,755.5700073,284.66000366000003,Early,Standard Class,Southern Europe,Europe,Corporate,2,4,-2,10,3,3,5,0,1,0,Watch,False Positive,True Negative,755.5700073,0.0,284.66000366000003,0.0,Review if Capacity Allows
63182,0,0.2726266028930765,2017-07-11 07:07:00,2017-07-14 07:07:00,771.0100097,-14.570004506000004,Early,Standard Class,Western Europe,Europe,Consumer,3,4,-1,17,3,3,5,1,0,0,Low,True Negative,True Negative,0.0,0.0,0.0,0.0,Standard Monitoring
63183,0,0.3799355951397803,2017-07-11 07:28:00,2017-07-15 07:28:00,513.52000805,-280.73998638,On Time,Standard Class,Western Europe,Europe,Corporate,4,4,0,6,3,3,4,1,1,0,Watch,False Positive,True Negative,513.52000805,0.0,-280.73998638,0.0,Review if Capacity Allows
63184,1,0.2785740066909221,2017-07-11 07:49:00,2017-07-16 07:49:00,625.27999303,210.25000191,Late,Standard Class,Western Europe,Europe,Consumer,5,4,1,13,4,4,5,0,0,0,Low,False Negative,False Negative,0.0,0.0,0.0,0.0,Standard Monitoring
63185,1,0.2745351712903114,2017-07-11 08:10:00,2017-07-17 08:10:00,391.980011,109.75,Late,Standard Class,Western Europe,Europe,Home Office,6,4,2,1,1,1,1,0,0,0,Low,False Negative,False Negative,0.0,0.0,0.0,0.0,Standard Monitoring
63187,0,0.3788614220714921,2017-07-11 08:52:00,2017-07-14 08:52:00,325.74000550000005,149.90000153,Early,Standard Class,Western Europe,Europe,Corporate,3,4,-1,6,1,1,2,0,1,0,Watch,False Positive,True Negative,325.74000550000005,0.0,149.90000153,0.0,Review if Capacity Allows
63189,1,0.2551114013991223,2017-07-11 09:34:00,2017-07-16 09:34:00,816.7800064,147.65000344,Late,Standard Class,Southern Europe,Europe,Consumer,5,4,1,15,3,3,5,0,0,0,Low,False Negative,False Negative,0.0,0.0,0.0,0.0,Standard Monitoring
63190,1,0.3644187313028477,2017-07-11 09:55:00,2017-07-17 09:55:00,622.25998686,6.849990789999993,Late,Standard Class,Southern Europe,Europe,Home Office,6,4,2,8,3,3,3,0,1,0,Watch,True Positive,False Negative,622.25998686,0.0,6.849990789999993,0.0,Review if Capacity Allows
63191,0,0.35024827146936,2017-07-11 10:16:00,2017-07-13 10:16:00,1200.9200363999998,377.87000466,Early,Standard Class,Southern Europe,Europe,Consumer,2,4,-2,5,3,3,4,0,1,0,Watch,False Positive,True Negative,1200.9200363999998,0.0,377.87000466,0.0,Review if Capacity Allows
63192,0,0.3614221846828341,2017-07-11 10:37:00,2017-07-14 10:37:00,586.159996,264.25000382,Early,Standard Class,Southern Europe,Europe,Home Office,3,4,-1,4,3,3,3,0,1,0,Watch,False Positive,True Negative,586.159996,0.0,264.25000382,0.0,Review if Capacity Allows
63193,0,0.3643119290248595,2017-07-11 10:58:00,2017-07-15 10:58:00,676.99000554,190.469996927,On Time,Standard Class,Southern Europe,Europe,Corporate,4,4,0,10,5,5,5,0,1,0,Watch,False Positive,True Negative,676.99000554,0.0,190.469996927,0.0,Review if Capacity Allows
63195,1,0.7413238379056458,2017-07-11 11:40:00,2017-07-17 11:40:00,208.7700043,73.0699997,Late,Second Class,Northern Europe,Europe,Consumer,6,2,4,4,1,1,1,0,1,1,Critical,True Positive,True Positive,208.7700043,208.7700043,73.0699997,73.0699997,Immediate Intervention
63196,0,0.6483312972386845,2017-07-11 12:01:00,2017-07-13 12:01:00,355.9700012,138.34999848,On Time,Second Class,Northern Europe,Europe,Home Office,2,2,0,3,2,2,2,0,1,1,High,False Positive,False Positive,355.9700012,355.9700012,138.34999848,138.34999848,Priority Review
63197,1,0.765801397565331,2017-07-11 12:22:00,2017-07-14 12:22:00,996.2800293,308.72999955,Late,Second Class,Western Europe,Europe,Consumer,3,2,1,11,4,4,5,0,1,1,Critical,True Positive,True Positive,996.2800293,996.2800293,308.72999955,308.72999955,Immediate Intervention
63198,0,0.3786877182193244,2017-07-11 12:43:00,2017-07-15 12:43:00,232.18000413,100.43000221,On Time,Standard Class,Western Europe,Europe,Consumer,4,4,0,2,2,2,2,0,1,0,Watch,False Positive,True Negative,232.18000413,0.0,100.43000221,0.0,Review if Capacity Allows
63199,0,0.9186562845347856,2017-07-11 13:04:00,2017-07-13 13:04:00,1127.690033,324.78999325,Canceled,First Class,Northern Europe,Europe,Corporate,2,1,1,9,4,4,5,0,1,1,Critical,False Positive,False Positive,1127.690033,1127.690033,324.78999325,324.78999325,Immediate Intervention
63201,0,0.3736544696810552,2017-07-11 13:46:00,2017-07-13 13:46:00,933.750023,229.39999773,Early,Standard Class,Western Europe,Europe,Corporate,2,4,-2,5,3,3,4,0,1,0,Watch,False Positive,True Negative,933.750023,0.0,229.39999773,0.0,Review if Capacity Allows
63202,1,0.7453431008039285,2017-07-11 14:07:00,2017-07-14 14:07:00,218.3600006,68.34999847,Late,Second Class,Northern Europe,Europe,Home Office,3,2,1,4,1,1,1,0,1,1,Critical,True Positive,True Positive,218.3600006,218.3600006,68.34999847,68.34999847,Immediate Intervention
63203,0,0.3493675316643608,2017-07-11 14:28:00,2017-07-15 14:28:00,769.22001646,-182.28000066,On Time,Standard Class,Northern Europe,Europe,Consumer,4,4,0,8,4,4,4,1,1,0,Watch,False Positive,True Negative,769.22001646,0.0,-182.28000066,0.0,Review if Capacity Allows
63205,1,0.3855366679965597,2017-07-11 15:10:00,2017-07-17 15:10:00,475.93000798,137.19000244,Late,Standard Class,Western Europe,Europe,Consumer,6,4,2,7,3,3,3,0,1,0,Watch,True Positive,False Negative,475.93000798,0.0,137.19000244,0.0,Review if Capacity Allows
63206,0,0.3802097642601053,2017-07-11 15:31:00,2017-07-13 15:31:00,256.1900024,55.01999855,Early,Standard Class,Western Europe,Europe,Home Office,2,4,-2,3,2,2,2,0,1,0,Watch,False Positive,True Negative,256.1900024,0.0,55.01999855,0.0,Review if Capacity Allows
63207,0,0.2814200578447946,2017-07-11 15:52:00,2017-07-14 15:52:00,723.69999694,209.19999794,Early,Standard Class,Western Europe,Europe,Consumer,3,4,-1,8,5,5,5,0,0,0,Low,True Negative,True Negative,0.0,0.0,0.0,0.0,Standard Monitoring
63208,0,0.3774048599352349,2017-07-11 16:13:00,2017-07-15 16:13:00,696.6900024,65.00999832,On Time,Standard Class,Western Europe,Europe,Consumer,4,4,0,10,3,3,3,0,1,0,Watch,False Positive,True Negative,696.6900024,0.0,65.00999832,0.0,Review if Capacity Allows
63209,1,0.9273403629086232,2017-07-11 16:34:00,2017-07-13 16:34:00,859.35000986,-101.630001585,Late,First Class,Western Europe,Europe,Corporate,2,1,1,9,3,3,5,1,1,1,Critical,True Positive,True Positive,859.35000986,859.35000986,-101.630001585,-101.630001585,Immediate Intervention
63210,1,0.9551952153210744,2017-07-11 16:55:00,2017-07-13 16:55:00,302.8800049,58.33000183,Late,First Class,Western Europe,Europe,Corporate,2,1,1,2,2,2,2,0,1,1,Critical,True Positive,True Positive,302.8800049,302.8800049,58.33000183,58.33000183,Immediate Intervention
63211,1,0.9210232446964484,2017-07-11 17:16:00,2017-07-13 17:16:00,234.97000504,108.92000008,Late,First Class,Northern Europe,Europe,Consumer,2,1,1,2,2,2,2,0,1,1,Critical,True Positive,True Positive,234.97000504,234.97000504,108.92000008,108.92000008,Immediate Intervention
63212,1,0.948700017906656,2017-07-11 17:37:00,2017-07-13 17:37:00,350.25,149.08000187,Late,First Class,Northern Europe,Europe,Consumer,2,1,1,6,2,2,2,0,1,1,Critical,True Positive,True Positive,350.25,350.25,149.08000187,149.08000187,Immediate Intervention
63213,0,0.3536543865009701,2017-07-11 17:58:00,2017-07-15 17:58:00,367.38999182,84.490000968,On Time,Standard Class,Northern Europe,Europe,Corporate,4,4,0,7,2,2,3,0,1,0,Watch,False Positive,True Negative,367.38999182,0.0,84.490000968,0.0,Review if Capacity Allows
63214,1,0.379819623499961,2017-07-11 18:19:00,2017-07-16 18:19:00,818.9800033,55.08999259,Late,Standard Class,Western Europe,Europe,Consumer,5,4,1,9,4,4,4,0,1,0,Watch,True Positive,False Negative,818.9800033,0.0,55.08999259,0.0,Review if Capacity Allows
